,Precision,Recall,F-score,Precision-R
1,0.06,0.6,0.1090909090909091,0.0
2,0.0,0.0,0.0,0.0
3,0.02,0.16666666666666666,0.03571428571428571,0.0
4,0.08,0.3333333333333333,0.12903225806451613,0.25
5,0.08,0.5,0.13793103448275865,0.0
6,0.06,1.0,0.11320754716981131,0.0
7,0.18,0.32142857142857145,0.23076923076923075,0.5555555555555556
8,0.04,0.6666666666666666,0.07547169811320754,0.0
9,0.08,0.4444444444444444,0.13559322033898308,0.0
10,0.34,0.4857142857142857,0.4,0.5294117647058824
11,0.22,0.5789473684210527,0.3188405797101449,0.36363636363636365
12,0.06,0.6,0.1090909090909091,0.3333333333333333
13,0.1,0.45454545454545453,0.16393442622950818,0.6
14,0.42,0.4772727272727273,0.4468085106382979,0.47619047619047616
15,0.08,0.4,0.13333333333333333,0.0
16,0.08,0.23529411764705882,0.11940298507462688,0.25
17,0.12,0.375,0.18181818181818182,0.3333333333333333
18,0.08,0.36363636363636365,0.13114754098360654,0.5
19,0.12,0.5454545454545454,0.19672131147540983,0.5
20,0.04,0.6666666666666666,0.07547169811320754,0.5
21,0.08,0.36363636363636365,0.13114754098360654,0.0
22,0.14,0.4117647058823529,0.208955223880597,0.42857142857142855
23,0.02,0.25,0.037037037037037035,0.0
24,0.06,0.23076923076923078,0.09523809523809523,0.6666666666666666
25,0.3,0.29411764705882354,0.29702970297029707,0.6
26,0.24,0.4,0.3,0.5
27,0.24,0.41379310344827586,0.3037974683544304,0.5
28,0.08,0.8,0.14545454545454545,0.25
29,0.26,0.6842105263157895,0.37681159420289856,0.6923076923076923
30,0.06,0.75,0.1111111111111111,0.0
31,0.04,1.0,0.07692307692307693,1.0
32,0.06,1.0,0.11320754716981131,0.3333333333333333
33,0.02,1.0,0.0392156862745098,0.0
34,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0
36,0.14,0.35,0.2,0.5714285714285714
37,0.12,0.5,0.1935483870967742,0.3333333333333333
38,0.22,0.6875,0.3333333333333333,0.6363636363636364
39,0.14,0.5833333333333334,0.22580645161290325,0.42857142857142855
40,0.06,0.3,0.09999999999999999,0.0
41,0.0,0.0,0.0,0.0
42,0.1,0.23809523809523808,0.1408450704225352,0.0
43,0.18,0.21951219512195122,0.1978021978021978,0.2222222222222222
44,0.04,0.11764705882352941,0.05970149253731344,1.0
45,0.14,0.2692307692307692,0.18421052631578946,0.2857142857142857
46,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0
48,0.08,0.3333333333333333,0.12903225806451613,0.0
49,0.1,0.625,0.1724137931034483,0.0
50,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0
57,0.02,1.0,0.0392156862745098,1.0
58,0.24,0.4,0.3,0.3333333333333333
59,0.3,0.3488372093023256,0.3225806451612903,0.5333333333333333
60,0.08,0.14814814814814814,0.10389610389610389,0.0
61,0.26,0.41935483870967744,0.32098765432098764,0.38461538461538464
62,0.04,0.25,0.06896551724137932,0.0
63,0.16,0.6666666666666666,0.25806451612903225,0.375
64,0.0,0.0,0.0,0.0
