,Precision,Recall,F-score,Precision-20
1,0.003589375448671931,1.0,0.007153075822603719,0.05
2,0.0,0.0,0.0,0.0
3,0.009124087591240875,0.8333333333333334,0.018050541516245487,0.05
4,0.00859375,0.9166666666666666,0.017027863777089786,0.15
5,0.007483629560336763,1.0,0.014856081708449398,0.1
6,0.012658227848101266,1.0,0.024999999999999998,0.0
7,0.01125619090499775,0.8928571428571429,0.02223210315695865,0.0
8,0.00331858407079646,1.0,0.00661521499448732,0.05
9,0.010112359550561797,1.0,0.020022246941045603,0.1
10,0.025023169601482854,0.7714285714285715,0.04847396768402155,0.2
11,0.035794183445190156,0.8421052631578947,0.06866952789699571,0.15
12,0.006321112515802781,1.0,0.01256281407035176,0.1
13,0.018789144050104383,0.8181818181818182,0.03673469387755102,0.2
14,0.02112676056338028,0.8863636363636364,0.04126984126984127,0.35
15,0.01353637901861252,0.8,0.026622296173044926,0.05
16,0.013651877133105802,0.9411764705882353,0.026913372582001684,0.1
17,0.03233830845771144,0.8125,0.062200956937799035,0.15
18,0.01349527665317139,0.9090909090909091,0.026595744680851068,0.05
19,0.00696594427244582,0.8181818181818182,0.013814274750575594,0.0
20,0.0020394289598912306,1.0,0.004070556309362279,0.0
21,0.005283381364073006,1.0,0.01051122790253225,0.0
22,0.005958291956305859,0.7058823529411765,0.011816838995568688,0.2
23,0.001932367149758454,1.0,0.003857280617164899,0.0
24,0.011111111111111112,0.38461538461538464,0.02159827213822894,0.05
25,0.037296037296037296,0.9411764705882353,0.07174887892376682,0.55
26,0.032073310423825885,0.9333333333333333,0.06201550387596899,0.25
27,0.030232558139534883,0.896551724137931,0.05849268841394826,0.3
28,0.0025173064820641915,0.8,0.005018820577164367,0.15
29,0.010050251256281407,0.8421052631578947,0.019863438857852262,0.35
30,0.004608294930875576,1.0,0.009174311926605503,0.0
31,0.0018726591760299626,1.0,0.0037383177570093464,0.1
32,0.001584786053882726,1.0,0.003164556962025317,0.1
33,0.0009532888465204957,1.0,0.0019047619047619048,0.0
34,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0
36,0.011138613861386138,0.9,0.022004889975550123,0.2
37,0.010407632263660017,1.0,0.020600858369098713,0.2
38,0.02023121387283237,0.875,0.03954802259887006,0.45
39,0.011204481792717087,1.0,0.0221606648199446,0.25
40,0.00846740050804403,1.0,0.016792611251049538,0.0
41,0.0,0.0,0.0,0.0
42,0.014370245139475908,0.8095238095238095,0.028239202657807307,0.2
43,0.026264591439688716,0.6585365853658537,0.050514499532273154,0.0
44,0.012834224598930482,0.7058823529411765,0.025210084033613446,0.1
45,0.01957585644371941,0.9230769230769231,0.038338658146964855,0.1
46,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0
48,0.0034749034749034747,0.75,0.006917755572636433,0.1
49,0.0077348066298342545,0.875,0.015334063526834613,0.0
50,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0
57,0.000999000999000999,1.0,0.001996007984031936,0.05
58,0.012831858407079646,0.9666666666666667,0.025327510917030567,0.3
59,0.02815884476534296,0.9069767441860465,0.0546218487394958,0.3
60,0.01569506726457399,0.7777777777777778,0.030769230769230767,0.05
61,0.029288702928870293,0.9032258064516129,0.05673758865248227,0.35
62,0.011382113821138212,0.875,0.022471910112359553,0.0
63,0.005575266092245312,0.9166666666666666,0.011083123425692695,0.05
64,0.0,0.0,0.0,0.0
